label,text
POS,tất cả đã đều quá hoàn hảo rồi . trừ pha nhảy cuối thôiiii :v
POS,per xem đi haha
POS,anh thích em rồi đấy 😂
NEG,"dăm ba cái thể hiện tình cảm này ngày xưa tao đầy , nhưng từ ngày cưới xong đi qua đường chắc chồng tao rơi mất não nên chưa thấy lặp lại bao giờ . 😌"
POS,waooooo . hợp lí ghe
NEG,"phải người vô ý thức , đành rằng người ta làm kiếm tiền nghề gì cũng là nghề mình phải biết tôn trọng người khác , có tôn trọng người thì người mới tôn trọng mình . kể cả người ta đi ăn xin mình cũng cho đoàng hoàng chứ không thể cầm tiền quăng cái víu vào người ta được"
POS,phim ấn độ duy nhất tao xem mà không cảm thấy vật lý logic quá khó hiểu dù thật ra trong phim này nhiều kiến thức hại não thật ; ))
POS,bạn trai thì chưa . nhưng mỗi lần thằng bạn nó cắt tóc cạo râu thì auto nhìn đẹp trai
POS,ai hát tao cho tao nge bài này chắc tao say quá
POS,lúc nhỏ bà hàng xóm của tao bị dí chạy tới mức bã phải nhảy xuống sông bã lội trốn mà tụi nó cũng nhảy theo với bã 🤣
NEG,tử hình cái bọn giết người hàng loạt này đi
POS,per có nên áp dụng với anh hàng xóm không nhể 😆😆😆
POS,cắt tóc xong rùi gội đầu xong tóc còn ướt ý nhìn đẹp trai lắm luôn ý
POS,nhớ thời ở ký túc xá quá đi per
POS,tụi nhỏ dễ thương quá
NEG,per huhu mất đi đồng nghiệp 😭
NEG,"mưa sấp mặt , về đi"
NEG,thế con lồn chủ nhiệm kia đéo có trách nhiệm gì nữa à :/ giáo viên mà sao nghĩ ngắn thế ?
POS,"per mày ơi trò này lợi hại nè áp dụng ngay :"")))"
NEG,nhưng đứa bạn thân đều là lũ khốn
NEG,đm mẹ bạn thân
NEG,nói chung là ai nào buông tay thì người chết vẫn là mấy đứa con gái như tao 😭
POS,tao bướng nhưng mặt đéo đến nỗi như con bé kia 🤣
POS,sau khi xem ảnh này xong tôi quyết định ... mua honda :v
POS,giống y bố tao 🤣 ngoa khủng khiếp nhưng mà nhà tao vui vãi_chưởng 🤣🤣. điểm danh nhà bố học giỏi văn nào 🤦🏻‍♀️
NEG,lúc ra hà nội ở ngay phố đào tấn mà không biết chổ này 😢
POS,không biết crush có thích uống nước mắm không để còn tặng nàng chai nam ngư 900ml :))
POS,tại sao anh cứ mất công giận dỗi trong khi người xin lỗi vẫn là anh =))
NEG,bỏ tù hết lũ xả thải như thế này đi
POS,hahaa coi cái mặt con nhỏ thấy thương
