text,prob_neg,prob_pos,pred_label
thứ mất dạy,0.8790716,0.12092841,neg
lũ bảo vệ nhìn vô dụng nhỉ :v quanh đó có gì xảy ra còn del biết thì làm bảo vệ làm cái gì ?,0.97654414,0.023455847,neg
nhỏ nhặt nhưng ý nghĩa và hạnh phúc 😊,0.08083075,0.91916925,pos
t thấy dễ mà . không biết thì học khác biết . ez vãi,0.40874797,0.591252,pos
lần sau nhìn thấy hắt nước tiểu vào người nó ngay,0.82167226,0.17832772,neg
lêu lêu đồ con nuôi,0.6682385,0.3317615,neg
tao ghét và tao sợ nó,0.9203679,0.0796321,neg
per bị chữi thì ráng nghe mà vui đi nghe . cứ như nghe hát miễn phí 🤣🤣 còn bị chữi là còn hạnh phúc . nguoi ngoài ngọt ngào nhưng chắc gì đã thật lòng đâu,0.060159624,0.9398404,pos
bây giờ tao lấy chồng rồi còn không có cơ hội ngủ với em gái 😫,0.88763696,0.112363026,neg
dume cho vào bảo tàng làm lồn gì -.- nhà khoa hc đã nghiên cứu sừng tê giác như móng tay của bạn thế sao không đem về mà chữa bênh đụ má rảnh ghê :((,0.9523377,0.047662303,neg
"cái ông này mới xem thì thấy bình thường , mà càng xem lại càng đẹp trai 😂",0.10863507,0.89136493,pos
"hòi nhỏ nhà ngoại bị rượt muốn chết , sợ tới giờ 😭😭",0.85910404,0.14089598,neg
khi bạn bất cần vãi đời ... làm việc xấu mà cảm thấy thanh thản vãi 😁,0.44262534,0.55737466,pos
"per ít bửa đi coi , trailer thấy hấp dẫn quá",0.31638324,0.68361676,pos
"đéo mẹ bệnh viện chứ có phải chỗ gửi xe đâu , nó niêm yết rõ ràng như thế kêu ca cái gì",0.98410666,0.015893312,neg
thằng này ngu vãi,0.8050469,0.1949531,neg
"cái con yêu nghiê ̣ tao này hồi nhỏ nó phập vào đùi mình . lần đầu nhìn thấy nó tươ ̉ người nó cũng hiền hiền như con vịt , ai ngờ mới bươ ́ c lại gần là nó di ́ rượt mình . cái kết là bầm tím phần đùi . đến giơ ̀ thấy nó là auto né .",0.78615034,0.21384963,neg
kết thúc 3 năm cấp 3 là khoảng tg đẹp nhất nhưng nó cho ta nhiều kỷ niệm đầy tiếc nuối 🤔,0.82625,0.17375,neg
ôi đáng yêu quá . đến bao giờ người đàn ông như thế nào mới xuất hiện trong cuộc đời tôi đây,0.17762876,0.82237124,pos
cái mặt xinh quá,0.16140604,0.83859396,pos
yêu dã man kkk,0.08075249,0.9192475,pos
tuổi thơ của tôi cũng từng có 1 người c . trai bỏ mặc tất cả để bảo vệ tôi 😘😘😘😘,0.39295185,0.60704815,pos
nhưng công nhận nhìn ngáo cỏ yêu thật =)),0.10652244,0.89347756,pos
"cây hoa sữa thì nói cây hoa sữa đi , tình yêu tình báo gì ra ngửi mùi chắc mất mẹ tình yêu luôn",0.71254885,0.28745118,neg
trường gửi điểm về và mẹ cũng điện chửi :(,0.7582959,0.24170408,neg
tớ cũng muốn có mối tình như vậy ??,0.5273707,0.47262928,neg
cái gì vui vậy mọi người :)),0.20408314,0.79591686,pos
ý nghĩa và đáng suy ngẫm thật,0.2548145,0.7451855,pos
dume dăm ba cái đứa lông còn chưa mọc đủ bày đặt thể hiện con cặc gì không biết . thêm bà cô giáo óc chó + lão chủ sân nữa,0.9793058,0.020694217,neg
rất chuẩn hãy sống làm người cơn luôn luôn co hiểu thảo với cha mẹ của mình nhé moi người ơi,0.20935285,0.79064715,pos
