text,prob_neg,prob_pos,pred_label
"ngày đéo nào cũng đòi người yêu , sinh nhật bác hồ hay quốc khánh cũng đéo thấy tha 😕",0.8486127,0.15138729,neg
add cứ khoe đi . mai lại chặt hết như nguyễn trãi mà 😂😂😂,0.20381188,0.7961881,pos
người ta đỗ dưới lòng đường chứ đỗ vào nhà chị đâu mà van hóa gì . chủ thớt mới là người ấu trĩ lạc hậu nhé,0.9487084,0.051291615,neg
chả có gì vui 😏😏😏,0.3728279,0.6271721,pos
"chời ơi , bé gái cưng muốn xỉu . bạn nữ nào kết hợp sx em bé hơm ?????????????? :))))",0.033565402,0.9664346,pos
ko như thằng per năm ấy ngồi cạnh tao một hai không cho chép bài thi ! đm,0.8285495,0.17145048,neg
xin lỗi đây mình vẫn nấu nhé,0.07120502,0.928795,pos
ngồi nhiều quá nhìn họ đau mắt,0.9889395,0.011060497,neg
trước gầy giả gái xinh . giờ béo lên ông mặc cái váy như tra tấn cái váy .,0.22189784,0.77810216,pos
đáng yêu quá,0.014162779,0.9858372,pos
tan tành rồi .,0.74181026,0.25818974,neg
đã khóc . cha mẹ là người luôn yêu thương minh nhất,0.8965194,0.10348057,neg
per nhờ mất bạn nên mình mới biết 😂😂😂😂,0.05486107,0.94513893,pos
xạo quá add ơi ! y tế nào lương 24tr thế ?,0.646464,0.35353598,neg
chai này mới ghi được nhìu chữ kkk,0.021736085,0.9782639,pos
xử tử hiệu trưởng . nhà nước phải làm thẳng tay bọn chó,0.9955731,0.0044269045,neg
"per mất mặt thật sự , quán bún đậu đó không biết có dán mặt mày lên không",0.89933175,0.10066823,neg
chụp xong về chia tay ráng chịu :))),0.8658559,0.13414413,neg
"thương quá . giờ con đi học ở lại cả ngày thì hên xui thôi chứ biết làm sao , không ăn thịt heo thì ăn gì . mong sao có lệnh tạm dừng ăn thịt heo trong thời gian này cho các trường mầm non thì hay biết mấy .",0.9925617,0.00743829,neg
tao đa khóc khi xem phim này 😭😭😭😭😭,0.8846968,0.11530324,neg
dân trí thấp thế thì bao giờ mới phát triển đất nước được,0.9650486,0.034951363,neg
buồn cười nhất cái đoạn cã lũ bạn đồng thanh * chó nó lấy * 😂,0.09584081,0.9041592,pos
bốc toàn trúng may mắn lần sau,0.3158403,0.6841597,pos
phìm này rất rất hay đôi với ai sống hướng nội !,0.02423191,0.9757681,pos
nhìn giống mấy đặc vụ của cia . sợ thế :)),0.9823158,0.01768423,neg
"cái quá phơi lúa xong mưa , tao đang cười vì bà béo thì phải ngậm mồm .",0.021669686,0.9783303,pos
chàng trai mạnh mẽ !,0.29202664,0.70797336,pos
bài học rút ra là học cách buông bỏ những thứ không thuộc về mình,0.5775623,0.42243773,neg
cũng mất công đẻ mà sao mẹ chúng nó đẻ ra lũ ngu thế haiz,0.99822617,0.0017738541,neg
một người đàn ông bản lĩnh thực sự 👍,0.36074728,0.6392527,pos
