text,prob_neg,prob_pos,pred_label
"ngày đéo nào cũng đòi người yêu , sinh nhật bác hồ hay quốc khánh cũng đéo thấy tha 😕",0.5617662,0.4382338,neg
add cứ khoe đi . mai lại chặt hết như nguyễn trãi mà 😂😂😂,0.45523107,0.5447689,pos
người ta đỗ dưới lòng đường chứ đỗ vào nhà chị đâu mà van hóa gì . chủ thớt mới là người ấu trĩ lạc hậu nhé,0.7815371,0.21846288,neg
chả có gì vui 😏😏😏,0.40637589,0.5936241,pos
"chời ơi , bé gái cưng muốn xỉu . bạn nữ nào kết hợp sx em bé hơm ?????????????? :))))",0.08860409,0.9113959,pos
ko như thằng per năm ấy ngồi cạnh tao một hai không cho chép bài thi ! đm,0.6120337,0.38796625,neg
xin lỗi đây mình vẫn nấu nhé,0.09722179,0.9027782,pos
ngồi nhiều quá nhìn họ đau mắt,0.8360497,0.1639503,neg
trước gầy giả gái xinh . giờ béo lên ông mặc cái váy như tra tấn cái váy .,0.31487697,0.685123,pos
đáng yêu quá,0.12016392,0.8798361,pos
tan tành rồi .,0.50927204,0.49072796,neg
đã khóc . cha mẹ là người luôn yêu thương minh nhất,0.81913805,0.18086198,neg
per nhờ mất bạn nên mình mới biết 😂😂😂😂,0.19474757,0.80525243,pos
xạo quá add ơi ! y tế nào lương 24tr thế ?,0.4978525,0.5021475,pos
chai này mới ghi được nhìu chữ kkk,0.07601118,0.9239888,pos
xử tử hiệu trưởng . nhà nước phải làm thẳng tay bọn chó,0.9514656,0.048534382,neg
"per mất mặt thật sự , quán bún đậu đó không biết có dán mặt mày lên không",0.7928941,0.20710585,neg
chụp xong về chia tay ráng chịu :))),0.7405336,0.25946638,neg
"thương quá . giờ con đi học ở lại cả ngày thì hên xui thôi chứ biết làm sao , không ăn thịt heo thì ăn gì . mong sao có lệnh tạm dừng ăn thịt heo trong thời gian này cho các trường mầm non thì hay biết mấy .",0.98036146,0.019638512,neg
tao đa khóc khi xem phim này 😭😭😭😭😭,0.73121977,0.26878023,neg
dân trí thấp thế thì bao giờ mới phát triển đất nước được,0.93197215,0.06802785,neg
buồn cười nhất cái đoạn cã lũ bạn đồng thanh * chó nó lấy * 😂,0.10829365,0.89170635,pos
bốc toàn trúng may mắn lần sau,0.36341596,0.63658404,pos
phìm này rất rất hay đôi với ai sống hướng nội !,0.19966656,0.80033344,pos
nhìn giống mấy đặc vụ của cia . sợ thế :)),0.8801741,0.11982588,neg
"cái quá phơi lúa xong mưa , tao đang cười vì bà béo thì phải ngậm mồm .",0.11453742,0.8854626,pos
chàng trai mạnh mẽ !,0.396806,0.603194,pos
bài học rút ra là học cách buông bỏ những thứ không thuộc về mình,0.472395,0.527605,pos
cũng mất công đẻ mà sao mẹ chúng nó đẻ ra lũ ngu thế haiz,0.9753929,0.024607142,neg
một người đàn ông bản lĩnh thực sự 👍,0.51657856,0.48342142,neg
