text,prob_neg,prob_pos,pred_label
Cảm ơn ad video quá chi tiết luôn 🙌,0.16406447,0.83593553,pos
Nói hơi dài dòng nên cắt gọn hơn chút.,0.32467353,0.67532647,pos
Giọng đọc dễ nghe thích cách truyền đạt.,0.032850146,0.96714985,pos
Toàn quảng cáo không xem nổi 😡,0.36784464,0.63215536,pos
Tôi học được nhiều thứ từ clip này cảm ơn!,0.19556713,0.80443287,pos
Cứ lặp đi lặp lại nội dung trùng lặp quá.,0.67467284,0.3253272,neg
Tác giả nói đúng ý mình luôn.,0.36257428,0.6374257,pos
Không đồng tình ví dụ thiếu chính xác.,0.6145544,0.38544556,neg
Rất mong kênh ra thêm series tương tự.,0.30436552,0.6956345,pos
Tệ thật mất thời gian xem 😤,0.43366557,0.5663344,pos
