text,prob_neg,prob_pos,pred_label
Cảm ơn ad video quá chi tiết luôn 🙌,0.98857856,0.01142144,neg
Nói hơi dài dòng nên cắt gọn hơn chút.,0.9858634,0.014136596,neg
Giọng đọc dễ nghe thích cách truyền đạt.,0.0018361211,0.9981639,pos
Toàn quảng cáo không xem nổi 😡,0.9980179,0.0019820745,neg
Tôi học được nhiều thứ từ clip này cảm ơn!,0.99486464,0.005135363,neg
Cứ lặp đi lặp lại nội dung trùng lặp quá.,0.98290384,0.017096147,neg
Tác giả nói đúng ý mình luôn.,0.98857856,0.01142144,neg
Không đồng tình ví dụ thiếu chính xác.,0.9979316,0.0020684148,neg
Rất mong kênh ra thêm series tương tự.,0.9765074,0.0234926,neg
Tệ thật mất thời gian xem 😤,0.98857856,0.01142144,neg
