text,prob_neg,prob_pos,pred_label
tất cả đã đều quá hoàn hảo rồi . trừ pha nhảy cuối thôiiii :v,0.29766762,0.7023324,pos
per xem đi haha,0.0052403808,0.9947596,pos
anh thích em rồi đấy 😂,0.0260216,0.9739784,pos
"dăm ba cái thể hiện tình cảm này ngày xưa tao đầy , nhưng từ ngày cưới xong đi qua đường chắc chồng tao rơi mất não nên chưa thấy lặp lại bao giờ . 😌",0.97516155,0.02483847,neg
waooooo . hợp lí ghe,0.3252312,0.6747688,pos
"phải người vô ý thức , đành rằng người ta làm kiếm tiền nghề gì cũng là nghề mình phải biết tôn trọng người khác , có tôn trọng người thì người mới tôn trọng mình . kể cả người ta đi ăn xin mình cũng cho đoàng hoàng chứ không thể cầm tiền quăng cái víu vào người ta được",0.9414067,0.058593288,neg
phim ấn độ duy nhất tao xem mà không cảm thấy vật lý logic quá khó hiểu dù thật ra trong phim này nhiều kiến thức hại não thật ; )),0.14037275,0.85962725,pos
bạn trai thì chưa . nhưng mỗi lần thằng bạn nó cắt tóc cạo râu thì auto nhìn đẹp trai,0.1460079,0.8539921,pos
ai hát tao cho tao nge bài này chắc tao say quá,0.26380092,0.7361991,pos
lúc nhỏ bà hàng xóm của tao bị dí chạy tới mức bã phải nhảy xuống sông bã lội trốn mà tụi nó cũng nhảy theo với bã 🤣,0.14128053,0.85871947,pos
tử hình cái bọn giết người hàng loạt này đi,0.91095734,0.08904269,neg
per có nên áp dụng với anh hàng xóm không nhể 😆😆😆,0.108166635,0.89183336,pos
cắt tóc xong rùi gội đầu xong tóc còn ướt ý nhìn đẹp trai lắm luôn ý,0.039593637,0.96040636,pos
nhớ thời ở ký túc xá quá đi per,0.14135575,0.85864425,pos
tụi nhỏ dễ thương quá,0.011523128,0.9884769,pos
per huhu mất đi đồng nghiệp 😭,0.92359984,0.07640017,neg
"mưa sấp mặt , về đi",0.7908522,0.20914784,neg
thế con lồn chủ nhiệm kia đéo có trách nhiệm gì nữa à :/ giáo viên mà sao nghĩ ngắn thế ?,0.99782276,0.0021772182,neg
"per mày ơi trò này lợi hại nè áp dụng ngay :"")))",0.079947114,0.9200529,pos
nhưng đứa bạn thân đều là lũ khốn,0.9243472,0.07565277,neg
đm mẹ bạn thân,0.95685285,0.043147158,neg
nói chung là ai nào buông tay thì người chết vẫn là mấy đứa con gái như tao 😭,0.94580877,0.05419126,neg
tao bướng nhưng mặt đéo đến nỗi như con bé kia 🤣,0.9582711,0.041728914,neg
sau khi xem ảnh này xong tôi quyết định ... mua honda :v,0.11587763,0.8841224,pos
giống y bố tao 🤣 ngoa khủng khiếp nhưng mà nhà tao vui vãi_chưởng 🤣🤣. điểm danh nhà bố học giỏi văn nào 🤦🏻‍♀️,0.012254417,0.9877456,pos
lúc ra hà nội ở ngay phố đào tấn mà không biết chổ này 😢,0.9422597,0.057740264,neg
không biết crush có thích uống nước mắm không để còn tặng nàng chai nam ngư 900ml :)),0.21771497,0.78228503,pos
tại sao anh cứ mất công giận dỗi trong khi người xin lỗi vẫn là anh =)),0.11591387,0.88408613,pos
bỏ tù hết lũ xả thải như thế này đi,0.93328685,0.06671317,neg
hahaa coi cái mặt con nhỏ thấy thương,0.31237763,0.68762237,pos
