text,prob_neg,prob_pos,pred_label
thứ mất dạy,0.97147244,0.028527576,neg
lũ bảo vệ nhìn vô dụng nhỉ :v quanh đó có gì xảy ra còn del biết thì làm bảo vệ làm cái gì ?,0.9947068,0.005293201,neg
nhỏ nhặt nhưng ý nghĩa và hạnh phúc 😊,0.0900265,0.9099735,pos
t thấy dễ mà . không biết thì học khác biết . ez vãi,0.5296868,0.47031322,neg
lần sau nhìn thấy hắt nước tiểu vào người nó ngay,0.9612974,0.038702637,neg
lêu lêu đồ con nuôi,0.86476415,0.13523585,neg
tao ghét và tao sợ nó,0.99311495,0.0068850424,neg
per bị chữi thì ráng nghe mà vui đi nghe . cứ như nghe hát miễn phí 🤣🤣 còn bị chữi là còn hạnh phúc . nguoi ngoài ngọt ngào nhưng chắc gì đã thật lòng đâu,0.015993178,0.9840068,pos
bây giờ tao lấy chồng rồi còn không có cơ hội ngủ với em gái 😫,0.9012372,0.098762825,neg
dume cho vào bảo tàng làm lồn gì -.- nhà khoa hc đã nghiên cứu sừng tê giác như móng tay của bạn thế sao không đem về mà chữa bênh đụ má rảnh ghê :((,0.9978334,0.0021666393,neg
"cái ông này mới xem thì thấy bình thường , mà càng xem lại càng đẹp trai 😂",0.04351747,0.9564825,pos
"hòi nhỏ nhà ngoại bị rượt muốn chết , sợ tới giờ 😭😭",0.9728195,0.027180506,neg
khi bạn bất cần vãi đời ... làm việc xấu mà cảm thấy thanh thản vãi 😁,0.40762752,0.5923725,pos
"per ít bửa đi coi , trailer thấy hấp dẫn quá",0.24940705,0.75059295,pos
"đéo mẹ bệnh viện chứ có phải chỗ gửi xe đâu , nó niêm yết rõ ràng như thế kêu ca cái gì",0.98913914,0.010860848,neg
thằng này ngu vãi,0.8997259,0.10027409,neg
"cái con yêu nghiê ̣ tao này hồi nhỏ nó phập vào đùi mình . lần đầu nhìn thấy nó tươ ̉ người nó cũng hiền hiền như con vịt , ai ngờ mới bươ ́ c lại gần là nó di ́ rượt mình . cái kết là bầm tím phần đùi . đến giơ ̀ thấy nó là auto né .",0.9249884,0.07501164,neg
kết thúc 3 năm cấp 3 là khoảng tg đẹp nhất nhưng nó cho ta nhiều kỷ niệm đầy tiếc nuối 🤔,0.89070666,0.10929336,neg
ôi đáng yêu quá . đến bao giờ người đàn ông như thế nào mới xuất hiện trong cuộc đời tôi đây,0.06530875,0.93469125,pos
cái mặt xinh quá,0.05093813,0.9490619,pos
yêu dã man kkk,0.01170671,0.9882933,pos
tuổi thơ của tôi cũng từng có 1 người c . trai bỏ mặc tất cả để bảo vệ tôi 😘😘😘😘,0.11642051,0.8835795,pos
nhưng công nhận nhìn ngáo cỏ yêu thật =)),0.049257338,0.95074266,pos
"cây hoa sữa thì nói cây hoa sữa đi , tình yêu tình báo gì ra ngửi mùi chắc mất mẹ tình yêu luôn",0.8038817,0.1961183,neg
trường gửi điểm về và mẹ cũng điện chửi :(,0.9487614,0.051238623,neg
tớ cũng muốn có mối tình như vậy ??,0.5785809,0.42141908,neg
cái gì vui vậy mọi người :)),0.018447042,0.98155296,pos
ý nghĩa và đáng suy ngẫm thật,0.18153822,0.8184618,pos
dume dăm ba cái đứa lông còn chưa mọc đủ bày đặt thể hiện con cặc gì không biết . thêm bà cô giáo óc chó + lão chủ sân nữa,0.99592143,0.00407857,neg
rất chuẩn hãy sống làm người cơn luôn luôn co hiểu thảo với cha mẹ của mình nhé moi người ơi,0.06644791,0.9335521,pos
